word,count
"2012).""spacex's",1
draw,1
"contracts"".",1
bilton,1
march2017.^ricardo,1
"march2017.^""air",1
budget,1
"race"".",1
"space"".the",1
2018.^caleb,1
"(spacex)""(pdf).",1
march2017.^stephen,1
"2015).""support",1
probable,1
"president,",1
march2017.^samantha,1
masunaga,1
melody,1
koeningsmann,1
dr.,1
instant.,1
figure,1
involve,1
mountain,1
"data"".the",1
"2018).""statement",1
march2017.^elon,1
"march2017.^koenigsmann,",1
melby,1
founder,1
undercut,1
"2012).""how",1
"prices"".",1
win,1
ars,1
stuff,1
right,1
have,1
why,1
watts,1
march2018.^brian,1
march2017.^jane,1
bloomberg.,1
"spacex"".bloomberg.com.",1
confirm,1
"investment"".",1
march2017.^cecilia,1
"march2017.^""elon",1
"over"".forbes.archivedfrom",1
christian,1
davenport,1
"13,",1
aug,1
"2018^nelson,",1
landing),1
may2021.^eric,1
ralph,1
99th,1
check,1
"[updated]"".",1
"august2020.^""spacex",1
10th,1
liftoff,1
(and,1
fortune,1
$46,1
his,1
may2021.^abstephen,1
bet,1
"2008).""sweet",1
"2007).""elon",1
"2012).""space",1
"station"".the",1
carl,1
"may2012.^""spacex,",1
"connectivity"".cnbc.archivedfrom",1
"2021).""google",1
jordan,1
beyond,1
cnn,1
contribute,1
business.archivedfrom,1
"august2020.^absheetz,",1
$850,1
spend,1
jump,1
$74,1
"billion"".cnbc.archivedfrom",1
$90,1
"february2021.^abfoust,",1
june2015.spacex,1
40.archived(pdf)from,1
"systems""(pdf).nasa.gov.",1
"march2014.^""commercial",1
"orbit"".wired",1
"round"".spacenews.archivedfrom",1
earth's,1
"april2021.^novet,",1
"first,",1
us$6,1
"march2021.^abhoffman,",1
"may2020.^""spacex's",1
"rendezvous"".",1
"june2020.^hennessy,",1
cosmic,1
rideshare,1
"program"".nbc",1
retrieved26,1
"january2021.^dent,",1
clear,1
"missions"".archivedfrom",1
"2020^berger,",1
"spaceflight"".nbc.archivedfrom",1
"klotz,",1
"september2021.^gorman,",1
"safely"".reuters.archivedfrom",1
"september2021.^ab""falcon",1
machineaviation,1
"heavy"".archivedfrom",1
february2021.the,1
v1.2,1
1st,1
"launches"".the",1
nose,1
"january2021.^""spacex",1
cone,1
"9"".",1
fortune.com.archivedfrom,1
may2017.^spacexcmsadmin,1
"2016).""zuma",1
usatoday.com.archivedfrom,1
"frontier"".",1
"june2017.^burghardt,",1
entice,1
sector,1
"2019).""starhopper",1
debut,1
"2005).""private",1
kevin,1
"december2012.^maney,",1
chica,1
"corporation"".",1
"hop"".nasaspaceflight.com.archivedfrom",1
"22.isbn978-0-06-297997-1.^""space",1
"'unicorn'"".",1
extent,1
laura,1
mr.,1
over,1
financial,1
"ties"".the",1
satnews.com.,1
"re-entry"".",1
destroy,1
december2018.when,1
spin,1
90%,1
rest,1
"jackie.""spacex",1
employees...,1
give,1
compensation,1
help...,1
"stock,",1
"""based",1
"company"".^wattles,",1
lose,1
"workers"".",1
question,1
2007.^graham,1
"2018).""elon",1
rob,1
"technology,18–25",1
"50,""aviation",1
"2017).""elon",1
dig,1
darpa,1
thinking:,1
"l.a.""los",1
retrieved13,1
"""blue",1
"september2018.^""nothing",1
"norris,",1
"""boring""",1
about,1
newly,1
underground,1
"tunnel"".cbslocal.com.",1
guy,1
warwick,1
"february2019.^abcopeland,",1
but,1
"2019.^abpatel,",1
"neel.""spacex",1
"rumors"".",1
"may2020.^abchang,",1
kenneth,1
era,1
trip,1
shuttle,1
215.isbn978-0-06-297997-1.^michael,1
"retired"".the",1
"may2020.^wattles,",1
"cnn"".",1
"may2020.^""spacex-nasa",1
demo-2,1
"costs.^berger,",1
launch:,1
"answered"".indianexpress.com.",1
$390,1
"june2020.^""elon",1
$1.9,1
"funding"".reuters.",1
"august2020.^wattles,",1
observer.archivedfrom,1
clarify,1
biggest,1
"valuation,",1
"network"".",1
mit,1
review.archivedfrom,1
2006.archivedfrom,1
retrieved9,1
"january2020.^sheetz,",1
"partners"".",1
wired.,1
"ignites"".",1
prize,1
$250,1
"billion"".",1
"may2020.^""spacex",1
$33.3,1
"opportunity"".",1
"2005).""race",1
"june2019.^cao,",1
sissi,1
"2020).""as",1
monthly,1
cents,1
than,1
topicshyperlooptesla,1
"engines,",1
sites.,1
†,1
"vehicles,",1
abandon,1
sites.commonsvteelon,1
"muskcompanieszip2(1995–1999)x.com(1999–2000,",1
"laterpaypal)spacex(2002–present)tesla,",1
inc.(2004–present)tesla,1
energy(previouslysolarcity),1
(2006–present)openai(2015–present)neuralink(2016–present)the,1
company(2016–present)endeavor(2021–present)related,1
spaceboring,1
docuseries)*,1
tunnelviewsawards,1
honorscriticism,1
teslatslaqfamilymaye,1
musk(mother)justine,1
musk(first,1
wife)talulah,1
riley(second,1
wife)grimes(former,1
partner)kimbal,1
musk(brother)tosca,1
musk(sister)lyndon,1
rive(cousin)in,1
unflown,1
space(2021,1
future(2015,1
programcontractscommercial,1
"facilitymcgregor,",1
texassatellite,1
"facilityredmond,",1
washingtonregional,1
"officeschantilly,",1
"houston,",1
"seattle,",1
dcsupportgo,1
searcher(recovery,1
ship)go,1
navigator(recovery,1
ship)spacex,1
programcommercial,1
development)relatedcountdown:,1
servicesgateway,1
servicesr&d,1
programsreusabilityfalcon,1
testsred,1
dragon(canceled)mars,1
transportkey,1
"musk(ceo,",1
cto)gwynne,1
shotwell(president,1
coo)tom,1
mueller(former,1
vp,1
fantastic,1
biography)ludicrous:,1
travelintergalactic,1
states]satellite,1
terminalsatellite,1
radio/tvdvb-shs-dmbdvb-rcsdvb-s2dvb-s2xisdb-s3digital,1
audio,1
servicebroadcast,1
companiesastra,1
radiodirectvdish,1
networksirius,1
xm,1
holdingssky,1
ukviasat[nordics]1worldspacerelay,1
companiesechostareutelsatglobalstarhughesinmarsatintelsatintersputnikiridiumsed,1
systemssestelesattoowayturksatviasat[united,1
manufacturersairbusboeinginvaplockheed,1
modemsatellite,1
martinnorthrop,1
grummanspacexsslthales,1
alenia,1
spacetrade,1
organizationsconsultative,1
systemsetsi,1
radiolistslist,1
firstslist,1
communication,1
companiescategorycommonsvtespace,1
colonizationcore,1
conceptsinterplanetary,1
unitspacebusvery-small-aperture,1
phonesatellite,1
unvarnished,1
communicationsmain,1
story,1
motors(2019)power,1
play:,1
"century(2021)""the",1
"earth""",1
(the,1
"simpsons,",1
"2015)""one",1
"morty""",1
(rick,1
"morty,",1
2019)categoriesvtesatellite,1
articlessatellite,1
antennas)satellite,1
televisionsatellite,1
radiosatellite,1
accessamateur,1
satelliteground,1
stationhigh-throughput,1
satelliterelay,1
satellitetranspondercarriage,1
disputehardwaresat>ipmonoblock,1
lnbdiseqcusalsautomatic,1
dishmotor-driven,1
dishmulti-satellitesatellite,1
dish(parabolic,1
californiarocket,1
"factoryhawthorne,",1
facilitiesheadquarters,1
grill,1
quentin;,1
"dougherty,",1
conor,1
"2015).""google",1
fidelity,1
into,1
(published,1
"2015)"".the",1
times.issn0362-4331.archivedfrom,1
"december2020.^hagey,",1
keach,1
"2020).""google",1
capitol,1
"directors"".tesla.com.archivedfrom",1
"hill"".the",1
