ticker,date,time,headline,neg,neu,pos,compound
TSLA,2021-10-26,08:53AM,"GM to boost EV profile with 40,000 charging stations in U.S., Canada",0.0,0.803,0.197,0.4019
TSLA,2021-10-26,08:45AM,"GM to boost EV profile with 40,000 charging stations in U.S., Canada",0.0,0.803,0.197,0.4019
TSLA,2021-10-26,08:00AM,Missed Tesla? Here's The Next $1 Trillion Company,0.239,0.761,0.0,-0.296
TSLA,2021-10-26,07:38AM,Why Is Everyone Talking About Nio Stock?,0.0,1.0,0.0,0.0
TSLA,2021-10-26,07:15AM,Dow Jones Futures Rally: Tesla Hits $1 Trillion; Donald Trump SPAC Attempts Rebound; Facebook Jumps On Earnings Beat,0.0,1.0,0.0,0.0
TSLA,2021-10-26,07:06AM,"The Zacks Analyst Blog Highlights: Toyota, Stellantis, Ford, Tesla and Allison Transmission",0.0,1.0,0.0,0.0
TSLA,2021-10-26,06:30AM,Facebooks Swimming in Profit as Much as Its Mired in Controversy,0.0,0.775,0.225,0.4404
TSLA,2021-10-26,06:01AM,Intel CEO on chip shortage: 'We have a rough road in front of us',0.133,0.867,0.0,-0.25
TSLA,2021-10-26,05:58AM,Tesla's $1tn valuation consolidates Elon Musk as world's richest man,0.0,0.726,0.274,0.5267
TSLA,2021-10-26,05:54AM,What Facebook tells us about Big Tech's controversies: Morning Brief,0.0,1.0,0.0,0.0
TSLA,2021-10-26,04:51AM,Tesla becomes first car maker to surpass $1 trillion market value,0.0,0.806,0.194,0.34
TSLA,2021-10-26,04:21AM,Elon Musk made $36 billion in a single day on Teslas historic stock surge,0.0,1.0,0.0,0.0
TSLA,2021-10-26,03:49AM,"Dow, S&P Extend Record Push As Earnings Impress; GE, UPS, Facebook Leap",0.0,0.685,0.315,0.5574
TSLA,2021-10-26,03:15AM,"October Rebound, Pricing In the Past, Tesla Hertz So Good, Space, Facebook Q&A",0.0,0.762,0.238,0.5777
TSLA,2021-10-26,02:36AM,"Tesla's Trillion, Facebook Buyback, Microsoft and Alphabet - What's Moving Markets",0.0,1.0,0.0,0.0
TSLA,2021-10-26,02:14AM,"Stocks Gain on Earnings, Facebook Moves Into Metaverse, Tesla Worth A Trillion - 5 Things You Must Know",0.0,0.751,0.249,0.6486
TSLA,2021-10-26,02:08AM,Ethereum upcoming network upgrade helps coin outperform,0.0,0.698,0.302,0.3818
TSLA,2021-10-26,12:56AM,Cathie Wood Says Tech Will Bend Curve on Inflation in Reply to Musk,0.0,1.0,0.0,0.0
TSLA,2021-10-26,12:50AM,"Teslas Big Order Win Boosts Asia EV Stocks, Lithium Makers",0.0,0.567,0.433,0.7269
TSLA,2021-10-25,10:57PM,Tesla Stock Gets a New Street-High Price Target,0.0,1.0,0.0,0.0
TSLA,2021-10-25,10:11PM,Tesla Is Worth 3 Times More Than Toyota,0.0,0.787,0.213,0.2263
TSLA,2021-10-25,10:00PM,Hertz Amps Up With Groundbreaking Tesla Deal,0.0,1.0,0.0,0.0
TSLA,2021-10-25,06:18PM,Hertz just paved the way for wider adoption of electric vehicles in the US,0.0,1.0,0.0,0.0
TSLA,2021-10-25,05:53PM,Tesla joins elite club as its market cap passes $1 trillion for the first time,0.0,1.0,0.0,0.0
TSLA,2021-10-25,05:31PM,Tesla Passes Facebook to Become 5th-Largest U.S. Public Company,0.0,1.0,0.0,0.0
TSLA,2021-10-25,05:25PM,Top Investors Stock Portfolio: 10 Mid-Cap Stocks To Buy,0.0,0.816,0.184,0.2023
TSLA,2021-10-25,05:17PM,Elon Musks Fortune Soars $36 Billion in a Day on Hertz Order,0.0,1.0,0.0,0.0
TSLA,2021-10-25,04:54PM,NTSB chief wants Tesla to limit where Autopilot can operate,0.0,1.0,0.0,0.0
TSLA,2021-10-25,04:53PM,Stock Market Today: Trillion-Dollar Tesla Leads Monday Market Charge,0.0,1.0,0.0,0.0
TSLA,2021-10-25,04:47PM,Tesla's $1 trillion value a double bonanza for Musk,0.0,0.769,0.231,0.34
TSLA,2021-10-25,04:44PM,"How Much $10,000 Invested In Tesla Stock 10 Years Ago Is Worth Now",0.0,0.863,0.137,0.2263
TSLA,2021-10-25,04:36PM,"US STOCKS-S&P 500, Dow close at new highs as Facebook starts heavy earnings week",0.0,1.0,0.0,0.0
TSLA,2021-10-25,04:30PM,"Hertz Orders 100,000 Teslas in Rental-Market Shake-Up",0.0,1.0,0.0,0.0
TSLA,2021-10-25,04:16PM,Dow Jones Gains As Tesla Hits $1 Trillion Mark; Donald Trump SPAC Plummets; 3 Stocks Pass Buy Points,0.0,0.876,0.124,0.34
TSLA,2021-10-25,04:16PM,Tesla Touches Trillion-Dollar Mark as EVs Go Mainstream,0.0,1.0,0.0,0.0
TSLA,2021-10-25,04:15PM,Xpeng Soars Above Buy Point After Showcasing Flying Car Ahead Of Tesla,0.0,1.0,0.0,0.0
TSLA,2021-10-25,04:10PM,Tesla Stock Soars To $1 Trillion Valuation On Deal With Rental Car Giant Hertz,0.0,1.0,0.0,0.0
TSLA,2021-10-25,04:01PM,"US STOCKS-S&P 500, Dow close at new highs as Facebook set to start heavy earnings week",0.0,1.0,0.0,0.0
TSLA,2021-10-25,04:01PM,Stocks Gain Before Earnings; Oil Drops From High: Markets Wrap,0.0,0.726,0.274,0.5267
TSLA,2021-10-25,03:39PM,Tesla Is the First Junk-Rated Company to Get a $1 Trillion Valuation,0.0,1.0,0.0,0.0
TSLA,2021-10-25,03:36PM,"As it speeds toward opening Austin-area factory, Tesla strikes huge deal with Hertz",0.158,0.696,0.146,-0.0516
